family_id,area_name,members_count,monthly_income,monthly_grocery_budget,latitude,longitude,diet_type,preferred_items
F001,Vasant Kunj,4,120000,22000,28.5293,77.1519,mixed,"Chicken, Basmati Rice, Olive Oil"
F002,Dwarka Sector 10,5,85000,16500,28.5813,77.0700,veg,"Paneer, Wheat Flour, Ghee"
F003,Lajpat Nagar,3,65000,12000,28.5677,77.2433,non-veg,"Eggs, Milk, Lentils"
F004,Rohini Sector 15,6,95000,19000,28.7160,77.1166,veg,"Mustard Oil, Rice, Seasonal Veg"
F005,Indirapuram,4,110000,21000,28.6360,77.3610,mixed,"Bread, Butter, Chicken, Coffee"
F006,Janakpuri,2,55000,9500,28.6214,77.0878,veg,"Tea, Biscuits, Wheat Flour"
F007,Saket,4,150000,28000,28.5244,77.2102,non-veg,"Fish, Avocado, Brown Rice"
F008,Noida Sector 62,5,78000,15000,28.6219,77.3675,mixed,"Maggi, Milk, Cooking Oil"
F009,Gurgaon Phase 3,3,200000,35000,28.4891,77.0881,mixed,"Quinoa, Almond Milk, Salmon"
F010,Mayur Vihar,4,72000,14000,28.6030,77.2930,veg,"Pulses, Curd, Rice"
F011,Pitampura,6,105000,20500,28.7033,77.1324,veg,"Sugar, Tea, Ghee, Flour"
F012,Karol Bagh,5,92000,18000,28.6514,77.1907,non-veg,"Mutton, Spices, Basmati Rice"
F013,Hauz Khas,2,135000,24000,28.5494,77.2044,mixed,"Pasta, Cheese, Wine, Fruits"
F014,Rajouri Garden,4,88000,17000,28.6415,77.1209,veg,"Paneer, Milk, Detergent"
F015,Shahdara,7,60000,13500,28.6734,77.2885,veg,"Potatoes, Onions, Mustard Oil"
F016,Greater Kailash,3,180000,32000,28.5482,77.2326,mixed,"Organic Honey, Nuts, Berries"
F017,Preet Vihar,4,98000,19500,28.6402,77.2974,veg,"Lentils, Basmati Rice, Yogurt"
F018,Malviya Nagar,3,75000,14500,28.5361,77.2144,non-veg,"Chicken, Eggs, Bread"
F019,Vikaspuri,5,82000,16000,28.6327,77.0701,veg,"Wheat Flour, Ghee, Sugar"
F020,Paschim Vihar,4,115000,22500,28.6675,77.0945,mixed,"Oats, Fruits, Chicken"
F021,Sarita Vihar,6,102000,21000,28.5291,77.2931,veg,"Tea, Spices, Pulses"
F022,Green Park,2,140000,26000,28.5588,77.2028,non-veg,"Steak, Cold Cuts, Eggs"
F023,Chanakyapuri,4,250000,45000,28.5997,77.1856,mixed,"Truffle Oil, Imported Cheese"
F024,Model Town,5,90000,18500,28.7027,77.1931,veg,"Rice, Flour, Milk, Butter"
F025,Palam,6,58000,13000,28.5878,77.0811,veg,"Cooking Oil, Potatoes, Dal"
F026,Dilshad Garden,4,68000,14000,28.6775,77.3208,veg,"Sugar, Tea, Biscuits"
F027,Sainik Farms,5,220000,40000,28.5020,77.2025,non-veg,"Lobster, Exotic Fruits, Wine"
F028,Golf Course Road,3,190000,34000,28.4526,77.0988,mixed,"Health Drinks, Oats, Salmon"
F029,Sohna Road,4,125000,23000,28.3980,77.0425,veg,"Organic Veg, Ghee, Pulses"
F030,Sector 15 Faridabad,5,76000,15500,28.3976,77.3112,veg,"Milk, Paneer, Rice"
F031,Kalkaji,3,81000,16000,28.5413,77.2530,non-veg,"Eggs, Chicken, Spices"
F032,Patparganj,4,89000,17500,28.6272,77.3005,veg,"Cooking Oil, Flour, Sugar"
F033,Kamla Nagar,4,74000,15000,28.6811,77.2024,veg,"Dal, Rice, Tea, Snacks"
F034,Defence Colony,2,160000,30000,28.5744,77.2348,mixed,"Cereal, Fruits, Meat"
F035,New Friends Colony,5,145000,28000,28.5615,77.2694,non-veg,"Fish, Basmati Rice, Oil"
F036,Vasundhara Enclave,4,83000,16500,28.6015,77.3190,veg,"Paneer, Milk, Wheat"
F037,Burari,8,52000,13000,28.7512,77.2003,veg,"Rice, Potatoes, Salt, Oil"
F038,Mehrauli,4,66000,14000,28.5190,77.1822,non-veg,"Chicken, Eggs, Pulses"
F039,Siri Fort,3,130000,25000,28.5528,77.2185,mixed,"Pasta, Olive Oil, Fruits"
F040,Kailash Colony,4,112000,21500,28.5524,77.2393,veg,"Ghee, Wheat, Milk"
F041,Ramesh Nagar,5,70000,15000,28.6475,77.1350,veg,"Tea, Biscuits, Sugar"
F042,Kirti Nagar,4,94000,18500,28.6493,77.1436,non-veg,"Meat, Spices, Rice"
F043,Naraina,3,73000,14500,28.6231,77.1362,veg,"Flour, Oil, Lentils"
F044,Okhla Phase 3,6,62000,14000,28.5457,77.2732,mixed,"Rice, Eggs, Tea"
F045,Moti Bagh,4,108000,20000,28.5843,77.1691,veg,"Organic Veg, Paneer, Milk"
F046,Civil Lines,5,140000,27000,28.6757,77.2246,non-veg,"Chicken, Basmati, Butter"
F047,Shalimar Bagh,4,87000,17500,28.7175,77.1557,veg,"Milk, Curd, Ghee"
F048,Alaknanda,3,80000,16000,28.5255,77.2514,mixed,"Oats, Fruits, Chicken"
F049,Greater Noida,5,92000,18500,28.4744,77.5040,veg,"Wheat, Sugar, Pulses"
F050,Sadar Bazar,7,55000,13500,28.6625,77.2110,veg,"Oil, Potatoes, Salt, Rice"
