shop_id,shop_name,area_name,latitude,longitude,rating,delivery_available
S001,Gupta Kirana Store,Vasant Kunj,28.5280,77.1530,4.2,true
S002,Big Bazaar Hyper,Dwarka Sector 10,28.5820,77.0715,4.5,true
S003,Reliance Fresh,Lajpat Nagar,28.5685,77.2445,4.3,true
S004,Metro Wholesale,Rohini,28.7150,77.1180,4.6,false
S005,Aggarwal Sweets & Grocery,Indirapuram,28.6355,77.3620,4.0,true
S006,Nature Basket,Saket,28.5250,77.2115,4.8,true
S007,Verma General Store,Janakpuri,28.6210,77.0885,3.8,true
S008,Spencer Supermarket,Noida Sector 62,28.6225,77.3680,4.4,true
S009,More Megastore,Gurgaon Phase 3,28.4900,77.0890,4.3,true
S010,Apni Mandi,Mayur Vihar,28.6040,77.2940,3.9,false
S011,Modern Bazaar,Greater Kailash,28.5490,77.2335,4.7,true
S012,EasyDay Club,Pitampura,28.7040,77.1330,4.1,true
S013,Jain Grocery Mart,Karol Bagh,28.6520,77.1915,4.0,true
S014,Le Marche,Gurgaon,28.4535,77.0995,4.9,true
S015,Cheap & Best Wholesale,Shahdara,28.6740,77.2895,3.7,false
S016,Fresh2Home,Hauz Khas,28.5500,77.2055,4.5,true
S017,Daily Needs Store,Malviya Nagar,28.5370,77.2155,4.1,true
S018,BigBasket Dark Store,Okhla,28.5465,77.2740,4.6,true
S019,Vishal Mega Mart,Faridabad,28.3985,77.3120,3.9,false
S020,Kendriya Bhandar,Civil Lines,28.6765,77.2255,4.2,false
